PREDICTIONS,LOWER,UPPER,monthYear,month
8149929.2663,7380057.2076,8919801.325,201507,49
8174828.0868,7234498.0229,9115158.1508,201508,50
8207858.1398,7187354.6694,9228361.6102,201509,51
8245955.4226,7180403.7937,9311507.0516,201510,52
8287210.5071,7192739.4573,9381681.557,201511,53
8330433.4738,7215175.8798,9445691.0677,201512,54
8374882.7872,7243196.0056,9506569.5688,201601,55
8420096.3368,7274398.0202,9565794.6534,201602,56
8465786.1438,7307431.0865,9624141.201,201603,57
8511772.7454,7341505.3592,9682040.1317,201604,58
8557944.3038,7376147.2141,9739741.3936,201605,59
8604231.1238,7411068.4141,9797393.8335,201606,60
